"efo_id","disease_full_name","number_of_associations"
"EFO_0006817","yang deficiency",91
"EFO_0006323","antidepressant-induced visual impairment",0
"EFO_0000196","metastatic prostate cancer",713
"EFO_0007147","anogenital venereal wart",22
"EFO_0007376","Mononegavirales infectious disease",1019
"EFO_0000730","undifferentiated sarcoma",104
"EFO_0007524","trichuriasis",11
"MONDO_0016642","meningioma (disease)",164
"MONDO_0024890","pineal parenchymal cell neoplasm",39
"EFO_1000884","cranial nerve malignant neoplasm",0
"MONDO_0002722","olfactory nerve neoplasm",98
"MONDO_0000633","sensory organ benign neoplasm",1380
"EFO_1000621","Vagus Nerve Paraganglioma",0
"MONDO_0021053","carotid body paraganglioma",7
"MONDO_0021096","papillary epithelial neoplasm",2038
"MONDO_0021078","glandular papilloma",0
"MONDO_0036976","benign epithelial neoplasm",2611
"EFO_1000373","Metanephric Adenoma",29
"EFO_1000635","hemangioma",926
"EFO_1001048","mucinous cystadenoma",103
"EFO_1000139","Borderline Ovarian Serous Tumor",18
"MONDO_0002369","cystadenoma",406
"EFO_0002504","serous cystadenoma",13
"EFO_1000155","Cecum Villous Adenoma",3
"EFO_1000154","Cecum Neuroendocrine Tumor G1",15
"EFO_1000092","Appendix Neuroendocrine Tumor G1",15
"MONDO_0016093","borderline epithelial tumor of ovary",29
"EFO_1000536","Small Intestinal Intraepithelial Neoplasia",0
"EFO_1000217","Digestive System Adenoma",1653
"MONDO_0024661","tubulovillous adenoma",48
"MONDO_0037254","transitional cell neoplasm",1361
"MONDO_0015073","gallbladder neuroendocrine tumor, grade 1/2",0
"MONDO_0024502","gallbladder neuroendocrine neoplasm",3
"EFO_1000101","Atypical Meningioma",87
"EFO_1000370","Meningeal Melanocytoma",9
"EFO_1000571","Testicular Sclerosing Sertoli Cell Tumor",1
"EFO_1000426","Ovarian Sclerosing Stromal Tumor",3
"MONDO_0021385","extrahepatic bile duct neoplasm",1764
"Orphanet_271847","Genetic endocrine tumor",1365
"EFO_1001196","subdural empyema",7
"EFO_1000039","meningeal tuberculosis",358
"EFO_0004720","prion disease",829
"MONDO_0015659","infectious disease with epilepsy",703
"EFO_0007130","acute disseminated encephalomyelitis",175
"EFO_0003932","bacterial vaginosis",115
"MONDO_0021697","chlamydia infectious disease",227
"EFO_1001476","streptococcal infection",535
"EFO_0007497","staphyloenterotoxemia",3
"EFO_1001030","male genital tuberculosis",0
"EFO_1000863","Chlamydophila infectious disease",1
"EFO_1001386","Pasteurellaceae Infections",0
"EFO_0009424","Yersinia enterocolitica infectious disease",18
"EFO_0007449","pneumonic pasteurellosis",13
"EFO_1001869","dysentery",124
"EFO_0004562","cryptorchidism",326
"Orphanet_99047","Double outlet right ventricle with doubly committed ventricular septal defect",0
"EFO_1000825","atrial heart septal defect",62
"Orphanet_98724","congenital anomaly of the great arteries",157
"Orphanet_99094","Laubry-Pezzi syndrome",1
"Orphanet_99042","Congenitally uncorrected transposition of the great arteries with coarctation",0
"Orphanet_97548","Ivemark syndrome",70
"EFO_0009880","teratogenicity",128
"Orphanet_325706","Genetic 46,XY disorder of sex development",1941
"Orphanet_325448","Leydig cell hypoplasia due to LHB deficiency",4
"MONDO_0009384","Leydig cell hypoplasia, type 1",47
"Orphanet_90786","46,XY disorder of sex development due to adrenal and testicular steroidogenesis defect",103
"Orphanet_168558","46,XY disorder of sex development - adrenal insufficiency due to CYP11A1 deficiency",43
"Orphanet_90793","Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency",55
"Orphanet_96263","48,XXXY syndrome",0
"MONDO_0014572","Lichtenstein-Knorr syndrome",1
"Orphanet_1368","Cataract - ataxia - deafness",80
"Orphanet_3232","Deafness - ear malformation - facial palsy",3
"Orphanet_2669","Nephrosis - deafness - urinary tract - digital malformations",10
"Orphanet_269212","Isolated Dandy-Walker malformation with hydrocephalus",0
"Orphanet_2512","Autosomal recessive primary microcephaly",478
"Orphanet_93924","Lobar holoprosencephaly",13
"Orphanet_269190","Encephaloclastic disorder",174
"Orphanet_2940","Porencephaly",103
"Orphanet_269505","Congenital communicating hydrocephalus",1
"Orphanet_397927","Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome",48
"Orphanet_268838","Leptomyelolipoma",0
"Orphanet_268826","Parietal encephalocele",0
"EFO_0003105","spina bifida",1060
"MONDO_0000904","complex cortical dysplasia with other brain malformations",74
"Orphanet_52055","Agenesis of the corpus callosum - intellectual disability - coloboma - micrognathia",5
"Orphanet_1495","Intellectual disability - hypoplastic corpus callosum - preauricular tag",0
"Orphanet_1497","X-linked complicated corpus callosum dysgenesis",39
"Orphanet_98095","Autosomal recessive congenital cerebellar ataxia",863
"Orphanet_559","Marinesco-Sjögren syndrome",120
"Orphanet_247815","Autosomal recessive ataxia due to PEX10 deficiency",0
"Orphanet_363432","Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency",3
"Orphanet_324262","Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency",14
"Orphanet_139485","Autosomal recessive ataxia due to ubiquinone deficiency",229
"Orphanet_85297","X-linked spinocerebellar ataxia type 3",5
"Orphanet_98755","Spinocerebellar ataxia type 1",79
"Orphanet_276244","Machado-Joseph disease type 3",0
"Orphanet_98768","Spinocerebellar ataxia type 13",7
"Orphanet_98771","Spinocerebellar ataxia type 18",16
"EFO_0009059","Spinocerebellar ataxia type 42",1
"Orphanet_98767","Spinocerebellar ataxia type 11",18
"Orphanet_98761","Spinocerebellar ataxia type 10",67
"Orphanet_401866","Spasticity-ataxia-gait anomalies syndrome",3
"Orphanet_1512","Crane-Heise syndrome",0
"Orphanet_1473","Uveal coloboma - cleft lip and palate - intellectual disability",59
"Orphanet_2013","Cleft palate - large ears - small head",9
"Orphanet_2511","Microbrachycephaly - ptosis - cleft lip",60
"Orphanet_2016","Cleft palate-lateral synechia syndrome",91
"Orphanet_2952","Adducted thumbs - arthrogryposis, Christian type",142
"MONDO_0000110","bifid nose",7
"Orphanet_156249","Larynx anomaly",12
"Orphanet_155884","Coloboma of superior eyelid",0
"Orphanet_141145","Hemifacial hypertrophy",48
"Orphanet_24","Fumaric aciduria",172
"Orphanet_163693","2p21 microdeletion syndrome",8
"Orphanet_254854","Pure mitochondrial myopathy",0
"Orphanet_319509","Combined oxidative phosphorylation defect type 9",8
"Orphanet_238329","Severe X-linked mitochondrial encephalomyopathy",33
"EFO_0009034","Combined oxidative phosphorylation defect type 24",1
"EFO_0009037","Combined oxidative phosphorylation defect type 27",1
"Orphanet_79212","Mucolipidosis",163
"Orphanet_394","Classical homocystinuria",112
"Orphanet_370930","XYLT1-CDG",0
"Orphanet_93110","Posterior urethral valve",33
"Orphanet_251071","8p23.1 microdeletion syndrome",0
"Orphanet_294951","Congenital joint dislocations",8
"Orphanet_33108","Lethal multiple pterygium syndrome",57
"Orphanet_294965","Lethal congenital contracture syndrome",485
"Orphanet_183576","Genetic branchial arch or oral-acral syndrome",1414
"Orphanet_352712","Facial dysmorphism - immunodeficiency - livedo - short stature",11
"Orphanet_66628","Obesity due to congenital leptin deficiency",224
"Orphanet_293987","Rapid-onset childhood obesity - hypothalamic dysfunction - hypoventilation - autonomic dysregulation syndrome",13
"Orphanet_3459","Wilson-Turner syndrome",19
"Orphanet_561","Marshall-Smith syndrome",44
"Orphanet_93947","X-linked intellectual disability, Golabi-Ito-Hall type",0
"Orphanet_108969","Syndromic intestinal malformation",1294
"Orphanet_1201","Atresia of small intestine",21
"Orphanet_1198","Colonic atresia",54
"Orphanet_98977","Juvenile glaucoma",33
"Orphanet_98637","Secondary glaucoma due to a proliferation and differentiation anomaly",208
"Orphanet_98980","Cogan-Reese syndrome",0
"Orphanet_98636","Corneoiridogoniodysgenesis",39
"Orphanet_98558","Rare eye disease due to a differentiation anomaly",779
"Orphanet_98942","Coloboma of choroid and retina",24
"Orphanet_91492","Non-syndromic congenital cataract",691
"Orphanet_904","Williams syndrome",122
"Orphanet_85275","Microphthalmia - ankyloblepharon - intellectual disability",117
"Orphanet_96201","X small rings",0
"Orphanet_1018","X-linked diffuse leiomyomatosis - Alport syndrome",7
"Orphanet_263749","X and Y chromosomal anomaly",2
"Orphanet_294026","2q31.1 microduplication syndrome",0
"Orphanet_262869","Partial trisomy of the long arm of chromosome 5",184
"Orphanet_262725","Partial trisomy/tetrasomy of the short arm of chromosome 5",17
"Orphanet_96102","Distal trisomy 10q",2
"Orphanet_171929","Trisomy 10p",6
"Orphanet_262941","Partial duplication of the long arm of chromosome 14",2
"Orphanet_262896","Partial duplication of the long arm of chromosome 8",5
"Orphanet_96100","Distal trisomy 8q",1
"Orphanet_261318","Trisomy 20p",2
"Orphanet_261243","16p13.11 microduplication syndrome",2
"Orphanet_96190","Paternal uniparental disomy of chromosome 5",0
"Orphanet_102020","Autosomal monosomy",2877
"Orphanet_1621","3q13 microdeletion syndrome",40
"Orphanet_261911","Partial deletion of the short arm of chromosome 7",0
"Orphanet_401986","1p31p32 microdeletion syndrome",8
"Orphanet_261983","Partial deletion of the short arm of chromosome 19",1
"Orphanet_261866","Partial deletion of the short arm of chromosome 2",108
"Orphanet_369881","2p21 microdeletion syndrome without cystinuria",0
"Orphanet_313884","12p12.1 microdeletion syndrome",1
"Orphanet_1446","Ring chromosome 22",5
"Orphanet_1437","Ring chromosome 1",26
"Orphanet_96092","8p inverted duplication/deletion syndrome",0
"MONDO_0020639","monosomy",2974
"Orphanet_1516","Craniofacial dyssynostosis",16
"MONDO_0019042","multiple congenital anomalies/dysmorphic syndrome",7455
"Orphanet_77302","Oculo-oto-facial dysplasia",0
"Orphanet_2743","Ophthalmoplegia - intellectual disability - lingua scrotalis",0
"Orphanet_254534","Maternal 14q32.2 hypermethylation syndrome",0
"Orphanet_293642","Blepharophimosis-intellectual disability syndrome",36
"Orphanet_91133","Osteopenia - myopia - hearing loss - intellectual disability - facial dysmorphism",0
"MONDO_0054636","Skraban-Deardorff syndrome",1
"Orphanet_3132","Say-Barber-Miller syndrome",9
"Orphanet_3051","intellectual disability - sparse hair - brachydactyly",71
"Orphanet_1309","Medullary sponge kidney",87
"MONDO_0017609","renal tubular dysgenesis",6
"Orphanet_97369","Renal tubular dysgenesis of genetic origin",11
"Orphanet_181399","Rare hyperthyroidism",69
"Orphanet_181396","Rare hypothyroidism",804
"Orphanet_95714","Primary congenital hypothyroidism without thyroid developmental anomaly",84
"Orphanet_238670","Isolated thyrotropin-releasing hormone deficiency",54
"Orphanet_101957","Pituitary deficiency",3974
"MONDO_0019843","pituitary hormone deficiency secondary to a granulomatous disease",0
"Orphanet_181422","Rare hyperlipidemia",966
"MONDO_0007788","hypertriglyceridemia, familial",2
"Orphanet_139399","Adrenomyeloneuropathy",56
"Orphanet_371861","Genetic hyperaldosteronism",194
"Orphanet_199247","Corticosteroid-binding globulin deficiency",15
"Orphanet_168588","Hyperandrogenism due to cortisone reductase deficiency",213
"Orphanet_2558","Mikati-Najjar-Sahli syndrome",0
"Orphanet_314376","Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency",2
"Orphanet_314373","Chronic diarrhea due to guanylate cyclase 2C overactivity",43
"Orphanet_306474","Congenital sucrase-isomaltase deficiency with starch and lactose intolerance",0
"Orphanet_53690","Congenital lactase deficiency",134
"MONDO_0010292","Uruguay Faciocardiomusculoskeletal syndrome",1
"MONDO_0044312","immunoskeletal dysplasia with neurodevelopmental abnormalities",1
"EFO_0005597","methylmalonic aciduria and homocystinuria type cblG",2
"EFO_0004125","growth hormone-secreting pituitary adenoma",4
"MONDO_0060752","neurodevelopmental disorder with spasticity and poor growth",1
"Orphanet_93561","Familial renal amyloidosis due to lysozyme variant",1
"Orphanet_309162","Sandhoff disease, juvenile form",16
"Orphanet_79225","Sphingolipidosis",1718
"Orphanet_247546","Acute neonatal citrullinemia type I",0
"MONDO_0009346","histidinuria due to a renal tubular defect",0
"Orphanet_289857","Neonatal glycine encephalopathy",8
"MONDO_0000421","inborn serine deficiency",1524
"Orphanet_79350","3-phosphoserine phosphatase deficiency",1
"Orphanet_268162","Intermediate maple syrup urine disease",14
"Orphanet_401948","Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency",49
"Orphanet_289290","Hypermethioninemia encephalopathy due to adenosine kinase deficiency",11
"Orphanet_2102","GTP cyclohydrolase I deficiency",9
"MONDO_0020698","inborn error of biotin metabolism",42
"EFO_1001981","Aminoacylase 1 deficiency",532
"Orphanet_42","Medium chain acyl-CoA dehydrogenase deficiency",45
"Orphanet_67048","3-methylglutaconic aciduria type 4",8
"MONDO_0040566","inherited glutathione metabolism disease",81
"MONDO_0015699","immunodeficiency due to a classical component pathway complement deficiency",0
"Orphanet_331187","Immunodeficiency due to MASP-2 deficiency",134
"EFO_0008499","DNA repair deficiency",4319
"Orphanet_169346","DNA repair defect other than combined T-cell and B-cell immunodeficiencies",1436
"MONDO_0045008","cholesterol metabolism disease",637
"Orphanet_329303","PLA2G6-associated neurodegeneration",1238
"Orphanet_2089","Glycogen storage disease due to hepatic glycogen synthase deficiency",316
"Orphanet_364","Glycogen storage disease due to glucose-6-phosphatase deficiency",70
"Orphanet_309854","Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome",259
"Orphanet_79186","Disorder of pentose phosphate metabolism",292
"EFO_0009139","glut1 deficiency syndrome 1, autosomal recessive",1
"Orphanet_71277","Encephalopathy due to GLUT1 deficiency",198
"Orphanet_309447","Disorder of protein O-glycosylation",1010
"Orphanet_309463","Disorder of O-xylosyl/N-acetylgalactosaminylglycan synthesis",24
"Orphanet_371054","X-linked congenital disorder of glycosylation with intellectual disability as a major feature",27
"Orphanet_371207","Congenital disorder of glycosylation with nephropathy as a major feature",227
"Orphanet_569","Familial or sporadic hemiplegic migraine",604
"MONDO_0018786","pontine autosomal dominant microangiopathy with leukoencephalopathy",3
"Orphanet_73229","Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures",9
"Orphanet_98649","Dentocutaneous disease with cataract",394
"Orphanet_642","Hereditary sensory and autonomic neuropathy type 4",18
"Orphanet_391389","Familial episodic pain syndrome with predominantly upper body involvement",1
"EFO_0005773","retinal detachment",505
"Orphanet_94083","Partington syndrome",8
"Orphanet_98784","Autosomal dominant nocturnal frontal lobe epilepsy",145
"Orphanet_1949","Benign familial neonatal seizures",73
"Orphanet_238722","Familial congenital mirror movements",33
"Orphanet_53583","Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity",2
"Orphanet_31709","Infantile convulsions and choreoathetosis",2
"Orphanet_1179","Benign paroxysmal tonic upgaze of childhood with ataxia",6
"Orphanet_376724","Generalized isolated dystonia",70
"Orphanet_93961","Laryngeal dyskinesia",16
"Orphanet_98203","Combined dystonia",696
"Orphanet_391711","Persistent combined dystonia",505
"Orphanet_71517","Rapid-onset dystonia-parkinsonism",58
"Orphanet_238455","Infantile dystonia-parkinsonism",189
"Orphanet_86814","Benign adult familial myoclonic epilepsy",131
"Orphanet_166463","Epilepsy syndrome",2791
"Orphanet_25968","Benign occipital epilepsy",21
"Orphanet_280384","Recessive intellectual disability - motor dysfunction - multiple joint contractures",0
"Orphanet_182076","Syndromic neurometabolic disease with X-linked intellectual disability",1215
"MONDO_0100000","MED12-related intellectual disability syndrome",38
"Orphanet_1397","Cerebellum agenesis - hydrocephaly",155
"Orphanet_320411","Autosomal recessive spastic paraplegia type 56",92
"Orphanet_68356","Leukodystrophy",2598
"Orphanet_99852","RAVINE syndrome",0
"MONDO_0014732","hypomyelinating leukodystrophy 12",1
"Orphanet_157716","Late infantile CACH syndrome",44
"Orphanet_447896","tremor - ataxia - central hypomyelination syndrome",1
"Orphanet_502444","alkaline ceramidase 3 deficiency",1
"MONDO_0060578","neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures",1
"MONDO_0020606","sex-linked disease",5557
"MONDO_0000425","X-linked disease",5557
"EFO_0010278","Shukla-Vernon syndrome",0
"MONDO_0007747","Hyperchlorhidrosis, isolated",1
"MONDO_0007500","ear malformation",45
"MONDO_0011853","Camptosynpolydactyly, complex",1
"Orphanet_748","Mendelian susceptibility to mycobacterial diseases",816
"Orphanet_319552","Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency",229
"Orphanet_319612","X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency",236
"Orphanet_319623","X-linked mendelian susceptibility to mycobacterial diseases due to CYBB deficiency",228
"MONDO_0021024","malaria, susceptibility to",2
"Orphanet_2966","Properdin deficiency",1
"Orphanet_200418","Immunodeficiency with factor I anomaly",7
"Orphanet_317476","X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia",36
"Orphanet_397964","Combined immunodeficiency due to MALT1 deficiency",273
"Orphanet_331206","Severe combined immunodeficiency due to complete RAG1/2 deficiency",189
"EFO_0005555","gamma chain deficiency",48
"MONDO_0018035","syndrome with combined immunodeficiency",2970
"Orphanet_137628","Cardiac anomalies - heterotaxy",0
"MONDO_0008666","volvulus of midgut",24
"Orphanet_93218","Sporadic idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis",0
"MONDO_0018751","genetic otorhinolaryngologic disease",3734
"Orphanet_271853","Genetic cardiac anomaly",2218
"Orphanet_99171","Isolated congenital ectropion",0
"Orphanet_34149","Autosomal dominant medullary cystic kidney disease with or without hyperuricemia",111
"Orphanet_98565","Syndromic ankyloblepharon",93
"EFO_0009063","Wolfram-like syndrome",1
"EFO_1000041","nephrosclerosis",445
"Orphanet_488191","female infertility due to oocyte meiotic arrest",1
"Orphanet_404469","Female infertility due to fertilization defect",382
"MONDO_0016235","complex vascular malformation with associated anomalies",211
"MONDO_0016233","rare lymphatic system malformation",1951
"MONDO_0004001","compartment syndrome",38
"EFO_1001255","spontaneous abortion",438
"MONDO_0000931","endometrial disease",3550
"EFO_0007266","eunuchism",11
"EFO_1001859","testicular hydrocele",98
"MONDO_0001083","Fanconi syndrome",402
"EFO_1001020","lipoid nephrosis",164
"EFO_0008621","Microcystic Renal Disease",0
"EFO_1001917","social anxiety disorder",355
"EFO_0008587","gender identity disorder",12
"EFO_0003888","attention deficit hyperactivity disorder",1667
"MONDO_0002420","tic disorder",253
"EFO_0004268","sclerosing cholangitis",2543
"EFO_1001803","lingual thyroid",3
"EFO_1001466","Graves ophthalmopathy",184
"EFO_1001198","substernal goiter",0
"MONDO_0018109","fulminant viral hepatitis",16
"MONDO_0025102","monkey disease",3
"EFO_0007371","Miller Fisher syndrome",30
"EFO_0004256","neuromyelitis optica",275
"EFO_0005534","delayed encephalopathy after acute carbon monoxide poisoning",8
"EFO_0000474","epilepsy",7824
"MONDO_0100033","metabolic epilepsy",2809
"EFO_0007138","akinetic mutism",5
"EFO_0002508","Parkinson's disease",2924
"EFO_0005039","hippocampal atrophy",121
"EFO_0007200","cerebral toxoplasmosis",45
"MONDO_0024417","perceptual disorders",6232
"MONDO_0021945","hearing disorder",5778
"MONDO_0001941","blindness (disorder)",737
"MONDO_0001296","acquired night blindness",0
"EFO_1001902","neuromuscular disease",7628
"EFO_1000936","femoral neuropathy",1
"MONDO_0004183","axonal neuropathy",150
"MONDO_0016374","cranial neuralgia",80
"MONDO_0016179","acquired amyloid peripheral neuropathy",196
"EFO_0004143","carpal tunnel syndrome",419
"EFO_1001337","Hand-Arm Vibration Syndrome",4
"EFO_1001158","retinopathy of prematurity",260
"MONDO_0023868","melanoma associated retinopathy",7
"MONDO_0020016","rare neurologic disease with psychiatric involvement",1370
"EFO_0000516","glaucoma",2466
"EFO_0004190","open-angle glaucoma",1003
"MONDO_0042983","neurocutaneous syndrome",1711
"MONDO_0000486","craniofacial dystonia",11
"EFO_0005881","triglyceride homeostasis",0
"EFO_0009878","drug interaction",0
"GO_0072521","purine-containing compound metabolic process",0
"GO_0018130","heterocycle biosynthetic process",0
"GO_0042360","vitamin E metabolic process",0
"GO_0009101","glycoprotein biosynthetic process",0
"GO_0001775","cell activation",0
"GO_0042116","macrophage activation",0
"GO_0006915","apoptotic process",0
"GO_0022402","cell cycle process",0
"GO_0055069","zinc ion homeostasis",0
"GO_0036275","response to 5' fluorouracil",0
"GO_1901557","response to fenofibrate",150
"EFO_0007870","response to norepinephrine-dopamine reuptake inhibitor",6
"GO_0061478","response to platelet aggregation inhibitor",9
"EFO_0009893","response to oxcarbazepine",0
"EFO_0010077","response to belimumab",0
"GO_1905119","response to haloperidol",0
"EFO_0009166","response to ivacaftor - efficacy",1
"GO_0036288","response to ximelagatran",0
"GO_0072718","response to cisplatin",49
"EFO_0006996","response to homoharringtonine",0
"EFO_0007779","response to pazopanib",56
"GO_1901905","response to tamsulosin",0
"EFO_0006905","response to abacavir",0
"GO_0007596","blood coagulation",4
"EFO_0009951","response to surgery",22
"GO_0009628","response to abiotic stimulus",0
"EFO_0009473","hemolysis",1
"EFO_0009105","high altitude adaptation",128
"GO_0019233","sensory perception of pain",0
"GO_1901659","glycosyl compound biosynthetic process",0
"GO_0070085","glycosylation",0
"EFO_0004335","short-term memory",0
"EFO_0005299","non-word reading",0
"GO_0060087","relaxation of vascular smooth muscle",0
"EFO_0008579","risk-taking behaviour",2467
"EFO_0004321","attempted suicide",17
"EFO_0005430","nicotine use",0
"EFO_0004347","addictive behaviour",0
"EFO_0004595","HIV mother to child transmission",0
"GO_0043084","penile erection",0
"GO_0120060","regulation of gastric emptying",0
"GO_0060004","reflex",0
"GO_1900135","positive regulation of renin secretion into blood stream",0
"GO_0046883","regulation of hormone secretion",0
"MONDO_0002661","uveal disease",1922
"EFO_0009492","cardiac arrest",823
"EFO_0000275","atrial fibrillation",2890
"EFO_0009209","Hemoglobin A to Total Hemoglobin Ratio Measurement",0
"EFO_0009252","Segmented Neutrophils to Neutrophils Ratio Measurement",0
"EFO_0004308","leukocyte count",12630
"EFO_0009388","sum of basophil and neutrophil counts",2521
"EFO_0004842","eosinophil count",7520
"EFO_0009233","Blood Cell Count Ratio Measurement",0
"EFO_0009187","immature platelet fraction",0
"OBI_0001621","longitude",0
"EFO_0004857","vitamin A measurement",20
"EFO_0007899","gamma-tocopherol measurement",0
"EFO_0009346","Hepatitis B virus core antigen seropositivity",0
"EFO_0005666","thyroid peroxidase antibody measurement",41
"EFO_0007721","carotid artery central pulse pressure measurement",0
"EFO_0007616","hearing measurement",26
"EFO_0010500","hypoxanthine mesurement",0
"EFO_0004501","HOMA-IR",51
"EFO_0004469","HOMA-B",201
"EFO_0004458","C-reactive protein measurement",1490
"EFO_0004812","interleukin-1 beta measurement",82
"EFO_0010241","galectin-3-binding protein measurement",2
"EFO_0008110","Dickkopf-related protein 4 measurement",3
"EFO_0008087","coagulation factor V measurement",15
"EFO_0008291","stem Cell Factor measurement",20
"EFO_0008011","a disintegrin and metalloproteinase with thrombospondin motifs 13",39
"EFO_0008207","leucine carboxyl methyltransferase 1 measurement",23
"EFO_0008183","interleukin 27 receptor subunit alpha measurement",27
"EFO_0008300","TNF-related apoptosis-inducing ligand measurement",27
"EFO_0008287","SLAM family member 7 measurement",40
"EFO_0008059","C-X-C motif chemokine 6 measurement",15
"EFO_0008023","angiopoietin-1 receptor, soluble measurement",36
"EFO_0008233","MHC class I polypeptide-related sequence A measurement",131
"EFO_0008199","Kunitz-type protease inhibitor 1 measurement",8
"EFO_0009422","CXCL5 measurement",42
"EFO_0008071","catalase measurement",37
"EFO_0008294","superoxide dismutase [Mn], mitochondrial measurement",22
"EFO_0008048","C-C motif chemokine 21 measurement",9
"EFO_0008074","cathepsin Z measurement",12
"EFO_0008024","angiostatin measurement",7
"EFO_0008261","plasma protease C1 inhibitor measurement",42
"EFO_0008119","endoplasmic reticulum aminopeptidase 1 measurement",7
"EFO_0008190","interleukin 7 receptor subunit alpha measurement",9
"EFO_0004748","thyroid stimulating hormone measurement",381
"EFO_0004611","low density lipoprotein cholesterol measurement",3195
"EFO_0007929","triglyceride:HDL cholesterol ratio",18
"EFO_0007798","linguistic error measurement",0
"EFO_0010532","salicylurate measurement",0
"EFO_0010508","malate measurement",0
"EFO_0010501","indole-3-propionate measurement",0
"EFO_0008539","vitamin D dietary intake measurement",29
"EFO_0010520","peptide measurement",0
"EFO_0010470","carnosine measurement",0
"EFO_0009401","hippocampal amigdala transition area volume",8
"EFO_0009395","hippocampal CA3 volume",22
"EFO_0010298","corpus callosum posterior volume measurement",0
"EFO_0006935","thalamus volume",0
"EFO_0010307","inferior parietal cortex volume measurement",0
"EFO_0010316","middle temporal gyrus volume measurement",0
"EFO_0004569","brain serotonin transporter measurement",0
"EFO_0006798","neuritic plaque measurement",67
"EFO_0007835","alcohol dependence measurement",108
"EFO_0005131","HVA measurement",0
"EFO_0009458","alcohol use disorder measurement",410
"EFO_0008434","initial pursuit acceleration",109
"EFO_0006795","serum VEGFR2 concentration measurement",7
"EFO_0007825","balding measurement",3772
"EFO_0005527","ejection fraction measurement",41
"EFO_0006800","vascular brain injury measurement",0
"EFO_0010384","phosphatidylcholine 38:2 measurement",0
"EFO_0010376","phosphatidylcholine 34:2 measurement",0
"EFO_0005196","vasoactive peptide measurement",45
"EFO_0003912","ankle brachial index",18
"EFO_0010223","diglyceride measurement",0
"EFO_0007787","plasma betaine measurement",12
"EFO_0010358","lysophosphatidylcholine 16:1 measurement",0
"EFO_0010272","abdominal aortic calcification measurement",15
"EFO_0009265","nausea and vomiting of pregnancy severity measurement",70
"EFO_0010455","adipic acid mesurement",0
"EFO_0010528","quinolinic acid measurement",0
"EFO_0009586","skin hydration measurement",0
"EFO_0010112","acetate measurement",0
"EFO_0007873","cartilage thickness measurement",58
"EFO_0007010","drug use measurement",8239
"EFO_0009927","Antihypertensive use measurement",89
"EFO_0009936","Drugs affecting bone structure and mineralization use measurement",102
"EFO_0007581","blood manganese measurement",10
"EFO_0005653","serum metabolite measurement",988
"EFO_0005276","hydroxy-leucine measurement",17
"EFO_0009891","carbamazepine metabolite measurement",0
"EFO_0010502","indoxyl sulfate measurement",0
"EFO_0004915","vaspin measurement",17
"EFO_0010085","anti-tetanus toxoid IgG measurement",64
"EFO_0009349","Anti-herpes simplex virus 1 IgG measurement",0
"Orphanet_139411","Carney triad",12
"Orphanet_2929","Juvenile polyposis syndrome",108
"MONDO_0004527","congenital granular cell tumor",2
"EFO_1001368","Mediastinal Cyst",6
"MONDO_0017341","virus associated tumor",2690
"Orphanet_144","Lynch syndrome",278
"Orphanet_44890","Gastrointestinal stromal tumor",771
"EFO_0004288","colonic neoplasm",5332
"Orphanet_261629","Alagille syndrome due to a NOTCH2 point mutation",18
"EFO_1001958","high grade ovarian serous adenocarcinoma",35
"HP_0002293","Alopecia of scalp",4
"HP_0011387","Enlarged vestibular aqueduct",17
"MONDO_0003890","infiltrating bladder urothelial carcinoma",32
"EFO_1000302","Infiltrating Bladder Lymphoepithelioma-Like Carcinoma",0
"EFO_0006889","monoclonal B-cell lymphocytosis",34
"EFO_1001516","ovarian serous carcinoma",523
"EFO_0004285","albuminuria",1396
"HP_0012211","abnormal renal physiology",621
"EFO_0009471","small kidney",6
"HP_0000072","Hydroureter",26
"HP_0100578","Lipoatrophy",74
"HP_0004299","Hernia of the abdominal wall",981
"HP_0004872","incisional hernia",123
"HP_0001537","umbilical hernia",171
"EFO_1000905","drug-induced hepatitis",52
"HP_0002515","Waddling gait",8
"HP_0001298","Encephalopathy",911
"HP_0001350","Slurred speech",13
"HP_0002267","Exaggerated startle response",17
"HP_0002419","Molar tooth sign on MRI",11
"HP_0000238","Hydrocephalus",415
"HP_0001310","Dysmetria",15
"HP_0006895","Lower limb hypertonia",0
"HP_0002510","Spastic tetraplegia",13
"HP_0006986","Upper limb spasticity",9
"HP_0002474","Expressive language delay",14
"HP_0011446","abnormality of higher mental function",3330
"HP_0004372","reduced consciousness/confusion",432
"HP_0100543","cognitive impairment",3151
"HP_0010864","Intellectual disability, severe",31
